numRows:10
numCols:10
wrap:False
numFeatures:5
numTraits:15
onlineness:0
prop_agent_online:0.1
agent_online_val:0.1
agents_online:True
online_agent_coords:{(0, 0): 0.1, (1, 7): 0.1, (2, 1): 0.1, (4, 4): 0.1, (4, 6): 0.1, (5, 4): 0.1, (7, 7): 0.1}
ordered_online_agent_coords:[(0, 0), (1, 7), (2, 1), (4, 4), (4, 6), (5, 4), (7, 7)]
online_weights:[0.14285714285714288, 0.14285714285714288, 0.14285714285714288, 0.14285714285714288, 0.14285714285714288, 0.14285714285714288, 0.14285714285714288]
total_onlineness:0.7
ID: 0, numFeatures: 5, numTraits: 15, onlineness0.1
	Feature vector: [4, 8, 12, 8, 3]
ID: 1, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 2, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 3, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 4, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 5, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 6, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 7, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 8, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 9, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [4, 2, 1, 1, 6]
ID: 10, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [14, 11, 7, 13, 4]
ID: 11, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [14, 11, 7, 13, 4]
ID: 12, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 13, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 14, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 15, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 16, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 17, numFeatures: 5, numTraits: 15, onlineness0.1
	Feature vector: [1, 5, 14, 12, 9]
ID: 18, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 19, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [4, 2, 1, 1, 6]
ID: 20, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [14, 11, 7, 13, 4]
ID: 21, numFeatures: 5, numTraits: 15, onlineness0.1
	Feature vector: [14, 11, 7, 13, 4]
ID: 22, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [14, 11, 7, 13, 4]
ID: 23, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 24, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 25, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 26, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [10, 7, 12, 13, 3]
ID: 27, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 28, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 29, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 30, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [15, 13, 11, 10, 8]
ID: 31, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 32, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [14, 11, 7, 13, 4]
ID: 33, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [14, 11, 7, 13, 4]
ID: 34, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 35, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 36, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 37, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 38, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 39, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 40, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 41, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 42, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 43, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 44, numFeatures: 5, numTraits: 15, onlineness0.1
	Feature vector: [1, 5, 14, 12, 9]
ID: 45, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 46, numFeatures: 5, numTraits: 15, onlineness0.1
	Feature vector: [1, 5, 14, 12, 9]
ID: 47, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 48, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 49, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
ID: 50, numFeatures: 5, numTraits: 15, onlineness0
	Feature vector: [1, 5, 14, 12, 9]
